citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,total acidity,sulphur bound
0.31,3.0,0.086,1.0002,3.48,0.74,11.6,9.389999999999999,104.0
0.4,1.4,0.066,0.9912,3.25,0.59,11.9,6.31,205.5
0.47,1.8,0.118,0.9982,3.3,0.75,9.8,11.290000000000001,20.0
0.26,1.6,0.088,0.99694,3.32,0.47,9.4,9.485000000000001,39.0
0.15,6.0,0.073,0.999,3.37,0.49,9.9,9.435,65.0
0.49,2.3,0.099,0.9979,3.38,0.99,9.8,8.59,180.0
0.15,1.8,0.077,0.99314,3.32,0.82,11.6,6.85,61.0
0.39,2.6,0.082,0.9985,3.43,0.62,10.7,8.5,58.0
0.27,2.0,0.095,0.99747,3.13,0.62,9.1,8.84,82.0
0.51,4.0,0.104,0.9996,3.28,0.97,10.1,11.68,27.0
0.0,4.3,0.057,0.99488,3.45,0.56,11.8,7.17,31.0
0.45,1.8,0.075,0.99552,3.41,0.76,11.9,9.02,31.0
0.02,2.5,0.081,0.99745,3.48,0.6,9.7,7.71,104.0
0.0,1.9,0.097,0.99675,3.37,0.58,9.0,7.83,52.0
0.45,2.0,0.082,0.9988,2.94,0.66,9.2,11.64,21.0
0.09,1.7,0.053,0.99402,3.54,0.6,11.3,6.76,56.0
0.08,4.4,0.071,0.99646,3.56,0.63,11.6,6.720000000000001,43.0
0.54,2.3,0.082,0.9997,3.11,1.36,9.8,12.78,41.0
0.14,3.9,0.07,0.99669,3.32,0.48,9.2,6.970000000000001,100.0
0.28,2.7,0.1,0.9966,3.22,0.67,9.4,8.24,113.0
0.45,2.4,0.072,0.99617,3.33,0.77,12.0,9.12,91.0
0.58,4.1,0.092,0.99745,3.29,0.99,12.0,10.639999999999999,35.0
0.04,1.7,0.049,0.9942,3.72,0.58,11.4,6.14,18.0
0.18,2.3,0.076,0.9975,3.43,0.59,10.0,8.39,71.0
0.68,2.9,0.085,1.0014,3.06,0.8,10.0,14.114999999999998,60.0
0.19,5.8,0.111,0.99878,3.14,0.55,9.4,10.64,109.0
